,accuracy,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro avg_precision,macro avg_recall,macro avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_f1-score
0,0.726962457337884,0.8169014084507042,0.8093023255813954,0.8130841121495327,0.4875,0.5,0.4936708860759494,0.6522007042253521,0.6546511627906977,0.653377499112741,0.7292109311157045,0.726962457337884,0.7280526048671454
1,0.7781569965870307,0.8647342995169082,0.8287037037037037,0.8463356973995272,0.5697674418604651,0.6363636363636364,0.6012269938650306,0.7172508706886866,0.73253367003367,0.7237813456322789,0.7872174120099248,0.7781569965870307,0.781921464730052
2,0.7440273037542662,0.8472906403940886,0.7962962962962963,0.8210023866348448,0.5111111111111111,0.5974025974025974,0.5508982035928144,0.6792008757525998,0.6968494468494468,0.6859502951138297,0.758943119046685,0.7440273037542662,0.7500193760743111
3,0.7542662116040956,0.8428571428571429,0.8194444444444444,0.8309859154929577,0.5301204819277109,0.5714285714285714,0.55,0.6864888123924269,0.6954365079365079,0.6904929577464789,0.7606703753091351,0.7542662116040956,0.7571432004999279
Average,0.7508532423208191,0.842945872804711,0.81343669250646,0.8278520279192156,0.5246247587248217,0.5762987012987013,0.5489490208834487,0.6837853157647664,0.6948676969025807,0.6884005244013321,0.7590104593703623,0.7508532423208191,0.7542841615428592
