,accuracy,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro avg_precision,macro avg_recall,macro avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_f1-score
0,0.6860068259385665,0.8153846153846154,0.7395348837209302,0.775609756097561,0.42857142857142855,0.5384615384615384,0.4772727272727273,0.621978021978022,0.6389982110912343,0.6264412416851441,0.7124104564377601,0.6860068259385665,0.6961889770929977
1,0.6825938566552902,0.8360655737704918,0.7083333333333334,0.7669172932330827,0.42727272727272725,0.6103896103896104,0.5026737967914439,0.6316691505216095,0.6593614718614719,0.6347955450122633,0.7286353717898507,0.6825938566552902,0.6974744631101947
2,0.7133105802047781,0.8333333333333334,0.7638888888888888,0.7971014492753623,0.4631578947368421,0.5714285714285714,0.5116279069767442,0.6482456140350877,0.6676587301587301,0.6543646781260533,0.736051733429136,0.7133105802047781,0.7220793920842579
3,0.6860068259385665,0.8229166666666666,0.7314814814814815,0.7745098039215687,0.42574257425742573,0.5584415584415584,0.48314606741573035,0.6243296204620462,0.64496151996152,0.6288279356686495,0.7185398573987092,0.6860068259385665,0.6979398117340275
Average,0.6920 ± 0.0248,0.8269 ± 0.0165,0.7358 ± 0.0397,0.7785 ± 0.0225,0.4362 ± 0.0312,0.5697 ± 0.0525,0.4937 ± 0.0280,0.6316 ± 0.0206,0.6527 ± 0.0227,0.6361 ± 0.0219,0.7239 ± 0.0182,0.6920 ± 0.0248,0.7034 ± 0.0216
