,accuracy,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro avg_precision,macro avg_recall,macro avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_f1-score
0,0.920214964861513,0.9309376754632229,0.9594907407407407,0.944998575092619,0.890282131661442,0.8219971056439942,0.8547780285929271,0.9106099035623325,0.8907439231923675,0.899888301842773,0.9193242067707754,0.920214964861513,0.9192266041826201
1,0.9107069036792063,0.9405594405594405,0.9340277777777778,0.9372822299651568,0.8378378378378378,0.8523878437047757,0.8450502152080345,0.8891986391986392,0.8932078107412768,0.8911662225865956,0.9112164775662087,0.9107069036792063,0.9109356726285832
2,0.9259718775847808,0.9382785956964892,0.9594672843080486,0.9487546521614658,0.8926380368098159,0.8422575976845152,0.8667163067758749,0.9154583162531525,0.900862440996282,0.9077354794686703,0.9252357395382215,0.9259718775847808,0.9253102780252195
3,0.9263854425144747,0.9596439169139466,0.9363057324840764,0.947831184056272,0.849931787175989,0.9015918958031838,0.875,0.9047878520449678,0.9189488141436302,0.9114155920281359,0.9282911122617842,0.9263854425144747,0.9270179714082638
Average,0.9208197971599937,0.9423549071582749,0.9473228838276609,0.9447166603188784,0.8676724483712712,0.8545586107091173,0.8603861376442091,0.905013677764773,0.900940747268389,0.9025513989815437,0.9210168840342474,0.9208197971599937,0.9206226315611716
