,accuracy,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro avg_precision,macro avg_recall,macro avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,threshold
0,0.8396031417941298,0.9026442307692307,0.8692129629629629,0.8856132075471698,0.7006622516556291,0.7655571635311144,0.7316735822959889,0.80165324121243,0.8173850632470386,0.8086433949215793,0.8449470221840721,0.8396031417941298,0.8416395485771135,41.0
1,0.8288548987184787,0.8910714285714286,0.8663194444444444,0.8785211267605634,0.6874154262516915,0.7351664254703328,0.7104895104895105,0.7892434274115601,0.8007429349573887,0.7945053186250369,0.8328960265032441,0.8288548987184787,0.8305220168625487,31.0
2,0.8333333333333334,0.9031668696711328,0.8587145338737695,0.8803799346987237,0.6855670103092784,0.7698986975397974,0.7252897068847989,0.7943669399902056,0.8143066157067835,0.8028348207917613,0.8409826253290975,0.8333333333333334,0.8360592781977221,41.0
3,0.836641852770885,0.9036363636363637,0.863346844238564,0.883032277169085,0.6927083333333334,0.7698986975397974,0.7292666209732693,0.7981723484848485,0.8166227708891807,0.8061494490711771,0.8433587503446375,0.836641852770885,0.8390901479584528,41.0
Average,0.8346 ± 0.0050,0.9001 ± 0.0065,0.8644 ± 0.0048,0.8819 ± 0.0033,0.6916 ± 0.0073,0.7601 ± 0.0180,0.7242 ± 0.0102,0.7959 ± 0.0057,0.8123 ± 0.0084,0.8030 ± 0.0066,0.8405 ± 0.0058,0.8346 ± 0.0050,0.8368 ± 0.0051,38.5000 ± 5.3766
