,accuracy,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro avg_precision,macro avg_recall,macro avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,threshold
0,0.5802047781569966,0.8898305084745762,0.4883720930232558,0.6306306306306306,0.37142857142857144,0.8333333333333334,0.5138339920948617,0.6306295399515738,0.6608527131782946,0.5722323113627461,0.7518258972473121,0.5802047781569966,0.599538010133054,11.0
1,0.5836177474402731,0.8560606060606061,0.5231481481481481,0.6494252873563219,0.36024844720496896,0.7532467532467533,0.48739495798319327,0.6081545266327875,0.6381974506974507,0.5684101226697575,0.7257618475900119,0.5836177474402731,0.6068439379988785,31.0
2,0.5870307167235495,0.8321678321678322,0.5509259259259259,0.6629526462395543,0.35333333333333333,0.6883116883116883,0.4669603524229075,0.5927505827505828,0.6196188071188071,0.5649564993312309,0.7063307795731004,0.5870307167235495,0.6114461389908109,31.0
3,0.6279863481228669,0.8794326241134752,0.5740740740740741,0.6946778711484594,0.39473684210526316,0.7792207792207793,0.5240174672489083,0.6370847331093692,0.6766474266474267,0.6093476691986839,0.7520552343024434,0.6279863481228669,0.6498285499871439,31.0
Average,0.5947 ± 0.0240,0.8644 ± 0.0276,0.5341 ± 0.0397,0.6594 ± 0.0290,0.3699 ± 0.0195,0.7635 ± 0.0648,0.4981 ± 0.0278,0.6172 ± 0.0220,0.6488 ± 0.0270,0.5787 ± 0.0222,0.7340 ± 0.0239,0.5947 ± 0.0240,0.6169 ± 0.0242,26.0000 ± 10.7531
