,accuracy,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro avg_precision,macro avg_recall,macro avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_f1-score
0,0.6962457337883959,0.7299270072992701,0.9302325581395349,0.8179959100204499,0.21052631578947367,0.05128205128205128,0.08247422680412371,0.47022666154437187,0.4907573047107931,0.45023506841228683,0.5916565160441024,0.6962457337883959,0.6221915028843631
1,0.7098976109215017,0.7330960854092526,0.9537037037037037,0.8289738430583501,0.16666666666666666,0.025974025974025976,0.0449438202247191,0.44988137603795963,0.48983886483886485,0.4369588316415346,0.5842392074461841,0.7098976109215017,0.622931823405826
2,0.6962457337883959,0.730909090909091,0.9305555555555556,0.8187372708757638,0.16666666666666666,0.03896103896103896,0.06315789473684211,0.4487878787878788,0.4847582972582973,0.4409475828063029,0.5826269521150067,0.6962457337883959,0.6201720423341359
3,0.6996587030716723,0.737037037037037,0.9212962962962963,0.8189300411522634,0.2608695652173913,0.07792207792207792,0.12,0.49895330112721414,0.4996091871091871,0.4694650205761317,0.6119008755008161,0.6996587030716723,0.6352521805081532
Average,0.7005119453924915,0.7327423051636627,0.9339470284237726,0.8211592662767068,0.20118230358504957,0.04853479853479853,0.07764398544142123,0.46696230437435615,0.49124091347928556,0.449401625859064,0.5926058877765273,0.7005119453924915,0.6251368872831196
