,accuracy,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro avg_precision,macro avg_recall,macro avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_f1-score
0,0.8784621744522529,0.9278042959427208,0.8998842592592593,0.9136310223266744,0.7671601615074024,0.8248914616497829,0.7949790794979079,0.8474822287250616,0.8623878604545211,0.8543050509122911,0.8819154588634296,0.8784621744522529,0.8797374743751748
1,0.7490698635799917,0.7416990081931867,0.9953703703703703,0.8500123548307388,0.92,0.1331403762662807,0.2326169405815423,0.8308495040965933,0.5642553733183255,0.5413146477061406,0.7926316189160094,0.7490698635799917,0.6736501261221011
2,0.8205128205128205,0.8243853487205218,0.9513607411696584,0.8833333333333333,0.8023529411764706,0.4934876989869754,0.6111111111111112,0.8133691449484962,0.7224242200783169,0.7472222222222222,0.8180890734463533,0.8205128205128205,0.8055394724749564
3,0.7328370554177006,0.7285412262156448,0.9976838448176027,0.8421309872922776,0.9245283018867924,0.0709117221418234,0.1317204301075268,0.8265347640512186,0.5342977834797131,0.4869257086999022,0.7845491126047114,0.7328370554177006,0.6391145708263295
Average,0.7952 ± 0.1166,0.8056 ± 0.1591,0.9611 ± 0.0797,0.8723 ± 0.0569,0.8535 ± 0.1398,0.3806 ± 0.6060,0.4426 ± 0.5416,0.8296 ± 0.0244,0.6708 ± 0.2634,0.6574 ± 0.2990,0.8193 ± 0.0764,0.7952 ± 0.1166,0.7495 ± 0.1950
