,accuracy,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro avg_precision,macro avg_recall,macro avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_f1-score
0,0.5972696245733788,0.8540145985401459,0.5441860465116279,0.6647727272727273,0.3717948717948718,0.7435897435897436,0.49572649572649574,0.6129047351675089,0.6438878950506858,0.5802496114996115,0.7256421115567624,0.5972696245733788,0.6197706588064951
1,0.621160409556314,0.8723404255319149,0.5694444444444444,0.6890756302521008,0.3881578947368421,0.7662337662337663,0.5152838427947598,0.6302491601343785,0.6678391053391053,0.6021797365234303,0.7450979174390118,0.621160409556314,0.6434033857667245
2,0.6621160409556314,0.8232044198895028,0.6898148148148148,0.7506297229219143,0.4017857142857143,0.5844155844155844,0.47619047619047616,0.6124950670876086,0.6371151996151996,0.6134100995561953,0.7124561593724662,0.6621160409556314,0.67850746354198
3,0.6518771331058021,0.8,0.7037037037037037,0.7487684729064039,0.3786407766990291,0.5064935064935064,0.43333333333333335,0.5893203883495146,0.6050986050986051,0.5910509031198686,0.6892673713509394,0.6518771331058021,0.6658725488547779
Average,0.6331058020477817,0.8373898609903909,0.6267872523686477,0.7133116383382866,0.38509481437911436,0.6501831501831502,0.4801335370112663,0.6112423376847527,0.638485201275899,0.5967225876747765,0.7181158899297949,0.6331058020477817,0.6518885142424944
