,accuracy,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro avg_precision,macro avg_recall,macro avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_f1-score
0,0.7303754266211604,0.7361111111111112,0.986046511627907,0.8429423459244533,0.4,0.02564102564102564,0.04819277108433735,0.5680555555555555,0.5058437686344663,0.44556755850439533,0.6466344330678803,0.7303754266211604,0.6313707867519992
1,0.7474402730375427,0.7465277777777778,0.9953703703703703,0.8531746031746031,0.8,0.05194805194805195,0.0975609756097561,0.773263888888889,0.5236592111592111,0.4753677893921796,0.760580204778157,0.7474402730375427,0.6546003734050017
2,0.726962457337884,0.7361111111111112,0.9814814814814815,0.8412698412698413,0.2,0.012987012987012988,0.024390243902439025,0.46805555555555556,0.49723424723424725,0.43283004258614016,0.595221843003413,0.726962457337884,0.6265949982756776
3,0.7337883959044369,0.7395833333333334,0.9861111111111112,0.8452380952380952,0.4,0.025974025974025976,0.04878048780487805,0.5697916666666667,0.5060425685425686,0.44700929152148666,0.6503412969283277,0.7337883959044369,0.6359301233187856
Average,0.7346 ± 0.0155,0.7396 ± 0.0085,0.9873 ± 0.0101,0.8457 ± 0.0091,0.4500 ± 0.4359,0.0291 ± 0.0283,0.0547 ± 0.0532,0.5948 ± 0.2219,0.5082 ± 0.0192,0.4502 ± 0.0311,0.6632 ± 0.1206,0.7346 ± 0.0155,0.6371 ± 0.0212
