,accuracy,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro avg_precision,macro avg_recall,macro avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_f1-score
0,0.9189747829681687,0.9250832408435072,0.9646990740740741,0.9444759206798867,0.9011345218800648,0.804630969609262,0.8501529051987767,0.913108881361786,0.8846650218416681,0.8973144129393318,0.9182421640333631,0.9189747829681687,0.9175320580517564
1,0.9127738735014469,0.9407321324811156,0.9369212962962963,0.9388228472020875,0.8438395415472779,0.8523878437047757,0.8480921526277898,0.8922858370141968,0.8946545700005359,0.8934574999149387,0.9130542571874893,0.9127738735014469,0.912905149826792
2,0.9247311827956989,0.9347214406302757,0.9617834394904459,0.9480593607305936,0.8970358814352574,0.8321273516642547,0.8633633633633634,0.9158786610327665,0.8969553955773503,0.9057113620469786,0.9239519115137506,0.9247311827956989,0.9238555004407855
3,0.9193548387096774,0.9670731707317073,0.918355529820498,0.9420849420849421,0.8187660668380463,0.9218523878437048,0.8672566371681416,0.8929196187848768,0.9201039588321014,0.9046707896265418,0.9246909503882335,0.9193548387096774,0.920701005485476
Average,0.9190 ± 0.0078,0.9419 ± 0.0286,0.9454 ± 0.0349,0.9434 ± 0.0062,0.8652 ± 0.0644,0.8527 ± 0.0796,0.8572 ± 0.0151,0.9035 ± 0.0202,0.8991 ± 0.0238,0.9003 ± 0.0094,0.9200 ± 0.0087,0.9190 ± 0.0078,0.9187 ± 0.0074
