,accuracy,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro avg_precision,macro avg_recall,macro avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,threshold
0,0.6416382252559727,0.8525641025641025,0.6186046511627907,0.7169811320754716,0.40145985401459855,0.7051282051282052,0.5116279069767442,0.6270119782893505,0.661866428145498,0.6143045195261079,0.7324749169434155,0.6416382252559727,0.6623137206157421,61
1,0.6518771331058021,0.8851351351351351,0.6064814814814815,0.7197802197802198,0.41379310344827586,0.7792207792207793,0.5405405405405406,0.6494641192917054,0.6928511303511304,0.6301603801603801,0.7612670926781788,0.6518771331058021,0.6726762767718399,61
2,0.6825938566552902,0.8819875776397516,0.6574074074074074,0.753315649867374,0.4393939393939394,0.7532467532467533,0.5550239234449761,0.6606907585168454,0.7053270803270804,0.6541697866561751,0.7656745737321491,0.6825938566552902,0.7012048548689963,61
3,0.6791808873720137,0.8910256410256411,0.6435185185185185,0.7473118279569892,0.43795620437956206,0.7792207792207793,0.5607476635514018,0.6644909227026016,0.7113696488696488,0.6540297457541955,0.7719596115998797,0.6791808873720137,0.6982830202463058,51
Average,0.6638 ± 0.0321,0.8777 ± 0.0273,0.6315 ± 0.0368,0.7343 ± 0.0297,0.4232 ± 0.0296,0.7542 ± 0.0556,0.5420 ± 0.0349,0.6504 ± 0.0268,0.6929 ± 0.0351,0.6382 ± 0.0310,0.7578 ± 0.0278,0.6638 ± 0.0321,0.6836 ± 0.0304,58.5000 ± 7.9561
