,accuracy,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro avg_precision,macro avg_recall,macro avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_f1-score
0,0.809011988424969,0.8249486652977412,0.9299768518518519,0.8743199129488575,0.7430997876857749,0.5065123010130246,0.6024096385542169,0.7840242264917581,0.7182445764324382,0.7383647757515373,0.8015681053846083,0.809011988424969,0.7966473211312897
1,0.746589499793303,0.9126572908956329,0.7135416666666666,0.800909386164339,0.5365168539325843,0.829232995658466,0.6515065378055713,0.7245870724141086,0.7713873311625663,0.7262079619849552,0.8052108080756798,0.746589499793303,0.7582316812383744
2,0.7977667493796526,0.8227320125130344,0.9137232194557036,0.8658436213991769,0.702,0.507959479015919,0.5894206549118388,0.7623660062565172,0.7108413492358112,0.7276321381555079,0.7882300188627007,0.7977667493796526,0.7868492997106945
3,0.7576509511993383,0.930566037735849,0.7139548349739433,0.8079947575360419,0.5480329368709973,0.8668596237337193,0.67152466367713,0.7392994873034231,0.7904072293538313,0.739759710606586,0.8212482657351822,0.7576509511993383,0.7689952393985282
Average,0.7777547971993157,0.8727260016105644,0.8177991432370413,0.8372669195121039,0.6324123946223391,0.6776410998552822,0.6287153737371893,0.7525691981164517,0.7477201215461617,0.7329911466246465,0.8040642995145427,0.7777547971993157,0.7776808853697217
