,accuracy,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro avg_precision,macro avg_recall,macro avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_f1-score
0,0.6450511945392492,0.8284023668639053,0.6511627906976745,0.7291666666666666,0.3951612903225806,0.6282051282051282,0.48514851485148514,0.611781828593243,0.6396839594514013,0.6071575907590758,0.7130685649177506,0.6450511945392492,0.6642062030435125
1,0.6075085324232082,0.8740740740740741,0.5462962962962963,0.6723646723646723,0.379746835443038,0.7792207792207793,0.5106382978723404,0.626910454758556,0.6627585377585378,0.5915014851185063,0.7441655506113104,0.6075085324232082,0.6298632019349469
2,0.6723549488054608,0.8409090909090909,0.6851851851851852,0.7551020408163265,0.4188034188034188,0.6363636363636364,0.5051546391752577,0.6298562548562548,0.6607744107744108,0.6301283399957921,0.7299802965331976,0.6723549488054608,0.6894162048901752
3,0.6518771331058021,0.8352941176470589,0.6574074074074074,0.7357512953367875,0.3983739837398374,0.6363636363636364,0.49,0.6168340506934481,0.6468855218855218,0.6128756476683938,0.7204721029342396,0.6518771331058021,0.6711681904189287
Average,0.6441979522184301,0.8446699123735323,0.6350129198966409,0.7230961687961133,0.3980213820772187,0.670038295038295,0.4977353629747708,0.6213456472253754,0.6525256074674679,0.610415765885442,0.7269216287491247,0.6441979522184301,0.6636634500718909
