,accuracy,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro avg_precision,macro avg_recall,macro avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_f1-score
0,0.6717651922281934,0.7740610328638498,0.7633101851851852,0.7686480186480187,0.427972027972028,0.44283646888567296,0.4352773826458037,0.6010165304179389,0.6030733270354292,0.6019627006469112,0.6751988987670127,0.6717651922281934,0.6734189531343641
1,0.6738321620504341,0.7699827487061529,0.7748842592592593,0.7724257282953562,0.4279411764705882,0.4211287988422576,0.424507658643326,0.5989619625883705,0.5980065290507585,0.5984666934693411,0.6722767849133562,0.6738321620504341,0.6730411122847928
2,0.6902398676592225,0.7826589595375723,0.7840185292414592,0.783338154469193,0.4578488372093023,0.4558610709117221,0.45685279187817257,0.6202538983734373,0.6199398000765907,0.6200954731736827,0.6898368774330087,0.6902398676592225,0.6900373333151834
3,0.6774193548387096,0.7786933490288405,0.7660683265778807,0.7723292469352014,0.4381084840055633,0.4558610709117221,0.44680851063829785,0.6084009165172019,0.6109646987448014,0.6095688787867497,0.6813632655999387,0.6774193548387096,0.6793040902845974
Average,0.6783 ± 0.0144,0.7763 ± 0.0095,0.7721 ± 0.0162,0.7742 ± 0.0110,0.4380 ± 0.0244,0.4439 ± 0.0284,0.4409 ± 0.0243,0.6072 ± 0.0167,0.6080 ± 0.0166,0.6075 ± 0.0166,0.6797 ± 0.0134,0.6783 ± 0.0144,0.6790 ± 0.0137
