,accuracy,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro avg_precision,macro avg_recall,macro avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,threshold
0,0.7598181066556429,0.9251297257227576,0.7222222222222222,0.8111797205069873,0.5514018691588785,0.85383502170767,0.6700738216922203,0.738265797440818,0.7880286219649462,0.7406267710996037,0.8183724091102564,0.7598181066556429,0.7708720826066137,31.0
1,0.7486564696155437,0.9160475482912332,0.7135416666666666,0.8022121014964216,0.5386766076421249,0.8364688856729378,0.655328798185941,0.7273620779666791,0.7750052761698022,0.7287704498411813,0.8082495656585198,0.7486564696155437,0.760254117789294,31.0
2,0.7468982630272953,0.9132690882134915,0.7133757961783439,0.8010403120936281,0.5369504209541628,0.8306801736613604,0.6522727272727272,0.7251097545838272,0.7720279849198521,0.7266565196831777,0.8057272358246593,0.7468982630272953,0.7585264985654054,31.0
3,0.7630272952853598,0.9175108538350217,0.7342211928199189,0.8156963653908009,0.556949806949807,0.8350217076700435,0.6682107701215981,0.7372303303924144,0.7846214502449812,0.7419535677561995,0.8144721096672454,0.7630272952853598,0.7735489103324804,21.0
Average,0.7546 ± 0.0086,0.9180 ± 0.0055,0.7208 ± 0.0106,0.8075 ± 0.0076,0.5460 ± 0.0105,0.8390 ± 0.0110,0.6615 ± 0.0097,0.7320 ± 0.0072,0.7799 ± 0.0082,0.7345 ± 0.0085,0.8117 ± 0.0062,0.7546 ± 0.0086,0.7658 ± 0.0081,28.5000 ± 5.3766
