,accuracy,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro avg_precision,macro avg_recall,macro avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_f1-score
0,0.7337883959044369,0.7337883959044369,1.0,0.8464566929133859,0.0,0.0,0.0,0.36689419795221845,0.5,0.42322834645669294,0.5384454099640066,0.7337883959044369,0.6211200988954879
1,0.7372013651877133,0.7372013651877133,1.0,0.8487229862475442,0.0,0.0,0.0,0.36860068259385664,0.5,0.4243614931237721,0.5434658528346282,0.7372013651877133,0.6256797441278823
2,0.7337883959044369,0.7363013698630136,0.9953703703703703,0.8464566929133859,0.0,0.0,0.0,0.3681506849315068,0.4976851851851852,0.42322834645669294,0.5428023750525971,0.7337883959044369,0.6240090295880251
3,0.7372013651877133,0.738831615120275,0.9953703703703703,0.8481262327416174,0.5,0.012987012987012988,0.02531645569620253,0.6194158075601375,0.5041786916786917,0.43672134421890996,0.6760669927166532,0.7372013651877133,0.6318929466238804
Average,0.735494880546075,0.7365306865188597,0.9976851851851851,0.8474406512039833,0.125,0.003246753246753247,0.006329113924050633,0.43076534325942983,0.5004659692159692,0.42688488256401697,0.5751951576419712,0.735494880546075,0.6256754548088189
