,accuracy,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro avg_precision,macro avg_recall,macro avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_f1-score
0,0.7679180887372014,0.7712177121771218,0.9720930232558139,0.8600823045267489,0.7272727272727273,0.20512820512820512,0.32,0.7492452197249245,0.5886106141920096,0.5900411522633745,0.7595190472537676,0.7679180887372014,0.7163061278950548
1,0.7849829351535836,0.834061135371179,0.8842592592592593,0.8584269662921349,0.609375,0.5064935064935064,0.5531914893617021,0.7217180676855894,0.6953763828763828,0.7058092278269186,0.7750139257343844,0.7849829351535836,0.7782114996585399
2,0.7781569965870307,0.8355555555555556,0.8703703703703703,0.8526077097505669,0.5882352941176471,0.5194805194805194,0.5517241379310345,0.7118954248366014,0.694925444925445,0.7021659238408007,0.7705601284882555,0.7781569965870307,0.7735359178389491
3,0.8122866894197952,0.8815165876777251,0.8611111111111112,0.8711943793911007,0.6341463414634146,0.6753246753246753,0.6540880503144654,0.7578314645705699,0.7682178932178932,0.762641214852783,0.8165080246794252,0.8122866894197952,0.814139132500654
Average,0.7858 ± 0.0302,0.8306 ± 0.0721,0.8970 ± 0.0811,0.8606 ± 0.0124,0.6398 ± 0.0975,0.4766 ± 0.3128,0.5198 ± 0.2252,0.7352 ± 0.0348,0.6868 ± 0.1177,0.6902 ± 0.1150,0.7804 ± 0.0397,0.7858 ± 0.0302,0.7705 ± 0.0644
