,accuracy,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro avg_precision,macro avg_recall,macro avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,threshold
0,0.840429929723026,0.855026455026455,0.9351851851851852,0.8933112216694307,0.7882797731568998,0.6034732272069464,0.6836065573770492,0.8216531140916774,0.7693292061960658,0.78845888952324,0.8359599163030723,0.840429929723026,0.8334079876776839,71.0
1,0.8379495659363373,0.8475546305931322,0.9427083333333334,0.8926027397260274,0.8008048289738431,0.5759768451519537,0.67003367003367,0.8241797297834876,0.7593425892426435,0.7813182048798487,0.8342003052855965,0.8379495659363373,0.8290247210582229,71.0
2,0.8308519437551696,0.8464773922187171,0.9322524609148813,0.8872967759713419,0.7732558139534884,0.5774240231548481,0.6611433305716653,0.8098666030861028,0.7548382420348647,0.7742200532715036,0.825552615303385,0.8308519437551696,0.8226681445523276,71.0
3,0.8440860215053764,0.8556375131717597,0.9403590040532716,0.896,0.801923076923077,0.6034732272069464,0.6886870355078447,0.8287802950474183,0.771916115630109,0.7923435177539224,0.8402873578997002,0.8440860215053764,0.8367554762348721,71.0
Average,0.8383 ± 0.0060,0.8512 ± 0.0052,0.9376 ± 0.0051,0.8923 ± 0.0039,0.7911 ± 0.0144,0.5901 ± 0.0166,0.6759 ± 0.0135,0.8211 ± 0.0087,0.7639 ± 0.0087,0.7841 ± 0.0086,0.8340 ± 0.0067,0.8383 ± 0.0060,0.8305 ± 0.0065,71.0000 ± 0.0000
