,accuracy,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro avg_precision,macro avg_recall,macro avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_f1-score
0,0.8430034129692833,0.8858447488584474,0.9023255813953488,0.8940092165898618,0.7162162162162162,0.6794871794871795,0.6973684210526315,0.8010304825373318,0.7909063804412642,0.7956888188212466,0.8406876650833824,0.8430034129692833,0.8416611549792681
1,0.8430034129692833,0.8728070175438597,0.9212962962962963,0.8963963963963963,0.7384615384615385,0.6233766233766234,0.676056338028169,0.805634278002699,0.7723364598364598,0.7862263672122827,0.8375012090478231,0.8430034129692833,0.8384913298627666
2,0.8191126279863481,0.9267015706806283,0.8194444444444444,0.8697788697788698,0.6176470588235294,0.8181818181818182,0.7039106145251397,0.7721743147520789,0.8188131313131313,0.7868447421520047,0.845482466882005,0.8191126279863481,0.8261889187394936
3,0.8600682593856656,0.9310344827586207,0.875,0.9021479713603818,0.7,0.8181818181818182,0.7544910179640718,0.8155172413793104,0.8465909090909092,0.8283194946622268,0.8703189360950924,0.8600682593856656,0.8633439255872901
Average,0.8413 ± 0.0181,0.9041 ± 0.0313,0.8795 ± 0.0477,0.8906 ± 0.0154,0.6931 ± 0.0567,0.7348 ± 0.1064,0.7080 ± 0.0357,0.7986 ± 0.0200,0.8072 ± 0.0349,0.7993 ± 0.0213,0.8485 ± 0.0160,0.8413 ± 0.0181,0.8424 ± 0.0166
